contig-3479000000,3
contig-4069000000,0
contig-2176000000,3
contig-1467000000,0
contig-4167000000,3
contig-1125000000,3
contig-4227000000,2
contig-3104000000,0
contig-3963000000,0
contig-3713000000,3
contig-1967000000,3
contig-4224000000,0
contig-4360000000,3
contig-309000000,0
contig-1961000000,0
contig-4520000000,3
contig-709000000,0
contig-2210000000,0
contig-2505000000,3
contig-4559000000,1
contig-774000000,0
contig-3168000000,0
contig-1945000000,0
contig-3008000000,0
contig-3860000000,3
contig-765000000,0
contig-4372000000,3
contig-4451000000,0
contig-4032000000,3
contig-4323000000,3
contig-4890000000,3
contig-2061000000,3
contig-4445000000,3
contig-4592000000,0
contig-1459000000,0
contig-332000000,0
contig-1043000000,0
contig-2635000000,3
contig-3749000000,0
contig-1237000000,0
contig-850000000,3
contig-2515000000,0
contig-1809000000,0
contig-2200000000,0
contig-3573000000,2
contig-2418000000,0
contig-3814000000,3
contig-4484000000,3
contig-1631000000,0
contig-4799000000,3
contig-3124000000,3
contig-1285000000,0
contig-1602000000,0
contig-3661000000,3
contig-3185000000,0
contig-1367000000,0
contig-3988000000,3
contig-3968000000,3
contig-4450000000,3
contig-3780000000,3
contig-3779000000,0
contig-1378000000,0
contig-2452000000,0
contig-3542000000,3
contig-3243000000,3
contig-2139000000,0
contig-1372000000,0
contig-2642000000,3
contig-2612000000,0
contig-167000000,1
contig-2110000000,0
contig-1851000000,3
contig-4547000000,0
contig-315000000,2
contig-4089000000,3
contig-2899000000,0
contig-2219000000,0
contig-4805000000,3
contig-1212000000,0
contig-4001000000,0
contig-2656000000,3
contig-4062000000,0
contig-4702000000,3
contig-4814000000,3
contig-2060000000,3
contig-4324000000,3
contig-3524000000,0
contig-3370000000,0
contig-1667000000,3
contig-3097000000,3
contig-687000000,0
contig-2109000000,0
contig-2175000000,3
contig-4368000000,3
contig-1319000000,3
contig-305000000,0
contig-2084000000,0
contig-1686000000,0
contig-4513000000,3
contig-242000000,3
contig-4211000000,0
contig-2025000000,3
contig-4458000000,3
contig-4397000000,3
contig-325000000,0
contig-2726000000,0
contig-985000000,0
contig-1483000000,0
contig-1006000000,0
contig-1880000000,0
contig-1353000000,0
contig-2609000000,0
contig-1722000000,0
contig-1904000000,0
contig-1310000000,0
contig-569000000,0
contig-3688000000,0
contig-1564000000,0
contig-9000000,2
contig-607000000,0
contig-373000000,0
contig-2657000000,3
contig-4667000000,3
contig-2040000000,0
contig-2375000000,3
contig-375000000,3
contig-4599000000,3
contig-3764000000,3
contig-324000000,0
contig-1801000000,3
contig-2973000000,2
contig-4653000000,3
contig-4678000000,3
contig-3408000000,3
contig-351000000,3
contig-286000000,0
contig-1217000000,3
contig-2244000000,3
contig-837000000,0
contig-2508000000,3
contig-17000000,2
contig-3850000000,2
contig-4310000000,3
contig-3980000000,0
contig-406000000,0
contig-688000000,0
contig-236000000,0
contig-4666000000,3
contig-2936000000,0
contig-4804000000,3
contig-1331000000,0
contig-3222000000,3
contig-2727000000,0
contig-4480000000,3
contig-3530000000,0
contig-2389000000,0
contig-2758000000,0
contig-0,2
contig-4422000000,3
contig-540000000,0
contig-3805000000,0
contig-583000000,0
contig-1211000000,0
contig-1195000000,3
contig-258000000,0
contig-41000000,1
contig-2377000000,3
contig-1909000000,0
contig-3979000000,3
contig-2728000000,0
contig-2986000000,3
contig-3551000000,3
contig-4026000000,3
contig-3513000000,3
contig-566000000,3
contig-2988000000,3
contig-906000000,0
contig-2335000000,0
contig-848000000,0
contig-1143000000,0
contig-1475000000,0
contig-4596000000,3
contig-2278000000,0
contig-2799000000,0
contig-1703000000,0
contig-2606000000,0
contig-1280000000,0
contig-1223000000,3
contig-4771000000,3
contig-2000000000,3
contig-4633000000,3
contig-1416000000,0
contig-254000000,3
contig-4598000000,0
contig-3824000000,0
contig-3525000000,3
contig-2875000000,3
contig-2703000000,3
contig-1062000000,0
contig-252000000,0
contig-4008000000,0
contig-1488000000,0
contig-2792000000,0
contig-1944000000,0
contig-3320000000,0
contig-2890000000,0
contig-4297000000,3
contig-2789000000,3
contig-2014000000,0
contig-272000000,0
contig-4206000000,3
contig-1334000000,3
contig-3649000000,3
contig-3741000000,0
